Service;Unit;Contact;Audience;Phase;URL;Latitude;Longitude;Office;Description;Description_EN;Description_DE;Description_IT
ACOUA;Library;acoua@epfl.ch;Researchers;Archiving;https://go.epfl.ch/acoua;46.51866692;6.569234569;RLC D1 220;Service d’archivage des données de recherche proposé par la bibliothèque de l’EPFL. Il permet de conserver les données à long terme dans un environnement sécurisé et pérenne. Il est utilisé lorsque les données doivent être préservées après la fin d’un projet ou pour répondre à des exigences de conservation.;Research data archiving service provided by the EPFL Library. It enables long-term preservation of data in a secure and sustainable environment. It is used when data must be preserved after the end of a project or to meet retention requirements.;Von der Bibliothek der EPFL angebotener Dienst zur Archivierung von Forschungsdaten. Er ermöglicht die langfristige Aufbewahrung von Daten in einer sicheren und zukunftssicheren Umgebung. Er kommt zum Einsatz, wenn Daten nach Abschluss eines Projekts aufbewahrt werden müssen oder um Aufbewahrungsanforderungen zu erfüllen.;Servizio di archiviazione dei dati di ricerca offerto dalla biblioteca dell’EPFL. Consente di conservare i dati a lungo termine in un ambiente sicuro e duraturo. Viene utilizzato quando i dati devono essere conservati al termine di un progetto o per soddisfare i requisiti di conservazione.
AiiDA / AiiDAlab;LMSO;carlo.pignedoli@empa.ch;Researchers;Data Collection;https://www.aiidalab.net/;;;;Plateforme permettant d’automatiser et de gérer des workflows scientifiques. Elle facilite l’exécution, le suivi et la reproductibilité des calculs. Elle est utilisée dans les projets nécessitant des simulations complexes et une traçabilité complète des données.;Platform for automating and managing scientific workflows. It facilitates the execution, tracking, and reproducibility of computations. It is used in projects requiring complex simulations and full data traceability.;Plattform zur Automatisierung und Verwaltung wissenschaftlicher Arbeitsabläufe. Sie erleichtert die Durchführung, Nachverfolgung und Reproduzierbarkeit von Berechnungen. Sie wird in Projekten eingesetzt, die komplexe Simulationen und eine lückenlose Rückverfolgbarkeit der Daten erfordern.;Piattaforma che consente di automatizzare e gestire i flussi di lavoro scientifici. Facilita l'esecuzione, il monitoraggio e la riproducibilità dei calcoli. Viene utilizzata in progetti che richiedono simulazioni complesse e una tracciabilità completa dei dati.
Animal Research Ethics Committee;AREC;arec@epfl.ch;Researchers;Planning & Design;https://www.epfl.ch/research/ethic-statement/animal-research-ethics-committee/;46.519979;6.562271;SV 1843;Comité chargé d’évaluer les aspects éthiques des projets impliquant des animaux. Il vérifie la conformité aux réglementations et aux principes de bien-être animal. Il est requis avant de démarrer toute recherche impliquant des expérimentations animales.;Committee responsible for evaluating the ethical aspects of projects involving animals. It verifies compliance with regulations and animal welfare principles. It is required before starting any research involving animal experimentation.;Ausschuss, der für die Bewertung der ethischen Aspekte von Projekten mit Tierversuchen zuständig ist. Er überprüft die Einhaltung der Vorschriften und der Grundsätze des Tierschutzes. Sie ist vor Beginn jeder Forschung erforderlich, die Tierversuche beinhaltet.;Comitato incaricato di valutare gli aspetti etici dei progetti che coinvolgono animali. Verifica la conformità alle normative e ai principi di benessere animale. È richiesto prima di avviare qualsiasi ricerca che comporti sperimentazioni sugli animali.
ASAP;BICC;christian.iseli@epfl.ch;Researchers;Processing & Analysis;https://asap.epfl.ch/;46.520697;6.563381;AAB 1 19;Plateforme de support en analyse de données biologiques et bioinformatiques. Elle aide à traiter et interpréter des données complexes grâce à des outils spécialisés. Elle est utilisée pour les projets nécessitant une analyse avancée de données omiques.;Support platform for biological and bioinformatics data analysis. It helps process and interpret complex data using specialized tools. It is used for projects requiring advanced omics data analysis.;Supportplattform für die Analyse biologischer und bioinformatischer Daten. Sie hilft bei der Verarbeitung und Interpretation komplexer Daten mithilfe spezialisierter Tools. Sie wird für Projekte eingesetzt, die eine fortgeschrittene Analyse von Omics-Daten erfordern.;Piattaforma di supporto per l'analisi di dati biologici e bioinformatici. Aiuta a elaborare e interpretare dati complessi grazie a strumenti specializzati. Viene utilizzata per progetti che richiedono un'analisi avanzata dei dati omici.
Atempo lina;DSI;support@epfl.ch;EPFL collaborators;Use & Store;https://support.epfl.ch/epfl?id=epfl_service_status&service=6c25e361db38db40ef64731b8c961940;46.52014;6.567684;MA A0 388;Solution de sauvegarde automatique pour ordinateurs. Elle permet de protéger les données locales contre la perte ou les pannes. Elle est utilisée pour sécuriser les fichiers de travail sur les postes individuels.;Automatic backup solution for computers. It protects local data against loss or hardware failures. It is used to secure work files on individual workstations.;Automatische Backup-Lösung für Computer. Sie schützt lokale Daten vor Verlust oder Ausfällen. Sie wird zur Sicherung von Arbeitsdateien auf einzelnen Arbeitsplätzen eingesetzt.;Soluzione di backup automatico per computer. Consente di proteggere i dati locali da perdita o guasti. Viene utilizzata per proteggere i file di lavoro sulle singole postazioni.
Backup for precious computer;STI-IT;help-sti-3niv@groupes.epfl.ch;STI Researchers;Use & Store;https://www.epfl.ch/schools/sti/it/backup/;46.51943784;6.564430449;ELA 103;Service de sauvegarde dédié aux ordinateurs critiques au sein de STI. Il permet de protéger des données sensibles avec des sauvegardes régulières. Il est utilisé pour les machines contenant des données essentielles à la recherche.;Backup service dedicated to critical computers within STI. It protects sensitive data through regular backups. It is used for machines containing research-critical data.;Backup-Service für kritische Computer innerhalb von STI. Er schützt sensible Daten durch regelmäßige Backups. Er wird für Rechner genutzt, die für die Forschung wesentliche Daten enthalten.;Servizio di backup dedicato ai computer critici all'interno di STI. Consente di proteggere i dati sensibili con backup regolari. Viene utilizzato per le macchine contenenti dati essenziali per la ricerca.
Bertarelli Foundation Gene Therapy Platform;PTBTG;bernard.schneider@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/gene-therapy/;46.22183669;6.147184392;B3 5 212.118;Plateforme de support pour la recherche en thérapie génique. Elle fournit des équipements et une expertise pour concevoir et réaliser des expériences. Elle est utilisée dans les projets impliquant la modification génétique.;Support platform for gene therapy research. It provides equipment and expertise to design and conduct experiments. It is used in projects involving genetic modification.;Unterstützungsplattform für die Gentherapie-Forschung. Sie stellt Geräte und Fachwissen zur Konzeption und Durchführung von Experimenten bereit. Sie wird in Projekten eingesetzt, die genetische Veränderungen beinhalten.;Piattaforma di supporto per la ricerca in terapia genica. Fornisce attrezzature e competenze per progettare e realizzare esperimenti. Viene utilizzata in progetti che comportano la modificazione genetica.
Bioengineering & Organoids platform;PTBET;infobet@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/ptbet/;46.52545748;6.640094682;AGORA Cancer Research Center;Plateforme dédiée à la bioingénierie et aux organoïdes. Elle permet de développer et d’étudier des modèles biologiques avancés. Elle est utilisée pour les recherches sur systèmes biologiques complexes.;Platform dedicated to bioengineering and organoids. It enables the development and study of advanced biological models. It is used for research on complex biological systems.;Plattform für Bioingenieurwesen und Organoide. Sie ermöglicht die Entwicklung und Untersuchung fortschrittlicher biologischer Modelle. Sie wird für die Erforschung komplexer biologischer Systeme genutzt.;Piattaforma dedicata alla bioingegneria e agli organoidi. Consente di sviluppare e studiare modelli biologici avanzati. Viene utilizzata per la ricerca su sistemi biologici complessi.
BioImaging and Optics Platform;PTBIOP;arne.seitz@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/ptbiop/;46.5204187;6.563042165;AI 0241;Plateforme d’imagerie et de microscopie optique. Elle permet d’acquérir et d’analyser des images à haute résolution. Elle est utilisée pour les projets nécessitant de l’imagerie avancée en sciences de la vie.;Optical imaging and microscopy platform. It enables the acquisition and analysis of high-resolution images. It is used for projects requiring advanced imaging in life sciences.;Plattform für Bildgebung und optische Mikroskopie. Sie ermöglicht die Erfassung und Analyse hochauflösender Bilder. Sie wird für Projekte genutzt, die fortschrittliche Bildgebung in den Lebenswissenschaften erfordern.;Piattaforma di imaging e microscopia ottica. Consente di acquisire e analizzare immagini ad alta risoluzione. Viene utilizzata per progetti che richiedono tecniche di imaging avanzate nelle scienze della vita.
BioInformatics Competence Center;BICC;christian.iseli@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/ptbicc/;46.520697;6.563381;AAB 1 19;Service de support en bioinformatique. Il aide à analyser et interpréter des données biologiques à grande échelle. Il est utilisé lorsque des compétences spécifiques en traitement de données omiques sont nécessaires.;Bioinformatics support service. It helps analyze and interpret large-scale biological data. It is used when specific expertise in omics data processing is required.;Bioinformatik-Supportdienst. Er unterstützt die Analyse und Interpretation biologischer Daten in großem Maßstab. Er wird genutzt, wenn spezifische Kompetenzen in der Verarbeitung omischer Daten erforderlich sind.;Servizio di supporto bioinformatico. Aiuta ad analizzare e interpretare dati biologici su larga scala. Viene utilizzato quando sono necessarie competenze specifiche nell'elaborazione di dati omici.
